item_id,name,category,occasion,weather,gender,style,color,brand,price,rating,website,img,buy_link
22,Fossil Grey Sporty Bottom,Bottom,gym,hot,unisex,sporty,grey,Fossil,27.2,4.4,Myntra,https://via.placeholder.com/150/1a1625/ffffff?text=Bottom+Fossil,https://www.myntra.com/search?q=grey+sporty+Bottom
23,Zara Grey Casual Bottom,Bottom,travel,cold,unisex,casual,grey,Zara,51.57,3.3,Myntra,https://via.placeholder.com/150/beb6ce/ffffff?text=Bottom+Zara,https://www.myntra.com/search?q=grey+casual+Bottom
24,Levi's Pink Formal Footwear,Footwear,interview,cold,unisex,formal,pink,Levi's,47.06,4.0,Myntra,https://via.placeholder.com/150/beb6ce/ffffff?text=Footwear+Levi's,https://www.myntra.com/search?q=pink+formal+Footwear
25,H&M White Trendy Bottom,Bottom,travel,hot,unisex,trendy,white,H&M,30.23,3.1,Amazon,https://via.placeholder.com/150/c2a884/ffffff?text=Bottom+H&M,https://www.amazon.com/search?q=white+trendy+Bottom
26,Zara Yellow Sporty Bottom,Bottom,travel,rainy,unisex,sporty,yellow,Zara,94.88,3.6,Myntra,https://via.placeholder.com/150/1a1625/ffffff?text=Bottom+Zara,https://www.myntra.com/search?q=yellow+sporty+Bottom
27,Adidas Yellow Casual Accessory,Accessory,travel,rainy,male,casual,yellow,Adidas,77.84,4.3,Flipkart,https://via.placeholder.com/150/c2a884/ffffff?text=Accessory+Adidas,https://www.flipkart.com/search?q=yellow+casual+Accessory
28,Zara Grey Formal Footwear,Footwear,interview,cold,unisex,formal,grey,Zara,106.12,4.8,Myntra,https://via.placeholder.com/150/beb6ce/ffffff?text=Footwear+Zara,https://www.myntra.com/search?q=grey+formal+Footwear
29,Adidas Grey Formal Footwear,Footwear,office,hot,female,formal,grey,Adidas,42.66,3.8,Ajio,https://via.placeholder.com/150/1a1625/ffffff?text=Footwear+Adidas,https://www.ajio.com/search?q=grey+formal+Footwear
30,Levi's Pink Formal Top,Top,interview,hot,female,formal,pink,Levi's,142.74,3.2,Nykaa Fashion,https://via.placeholder.com/150/c2a884/ffffff?text=Top+Levi's,https://www.nykaafashion.com/search?q=pink+formal+Top
31,Allen Solly Grey Trendy Accessory,Accessory,party,rainy,female,trendy,grey,Allen Solly,116.94,3.4,Ajio,https://via.placeholder.com/150/c2a884/ffffff?text=Accessory+Allen Solly,https://www.ajio.com/search?q=grey+trendy+Accessory
32,Puma Black Formal Accessory,Accessory,interview,hot,female,formal,black,Puma,44.01,4.9,Amazon,https://via.placeholder.com/150/1a1625/ffffff?text=Accessory+Puma,https://www.amazon.com/search?q=black+formal+Accessory
33,Levi's Grey Sporty Footwear,Footwear,gym,cold,female,sporty,grey,Levi's,136.05,3.9,Myntra,https://via.placeholder.com/150/a88e6a/ffffff?text=Footwear+Levi's,https://www.myntra.com/search?q=grey+sporty+Footwear
34,Zara Black Sporty Top,Top,gym,hot,male,sporty,black,Zara,121.36,4.7,Amazon,https://via.placeholder.com/150/a88e6a/ffffff?text=Top+Zara,https://www.amazon.com/search?q=black+sporty+Top
35,Levi's Blue Formal Bottom,Bottom,interview,rainy,unisex,formal,blue,Levi's,87.2,4.8,Amazon,https://via.placeholder.com/150/beb6ce/ffffff?text=Bottom+Levi's,https://www.amazon.com/search?q=blue+formal+Bottom
36,Zara Blue Trendy Accessory,Accessory,casual,hot,unisex,trendy,blue,Zara,66.63,4.1,Amazon,https://via.placeholder.com/150/beb6ce/ffffff?text=Accessory+Zara,https://www.amazon.com/search?q=blue+trendy+Accessory
37,Allen Solly Black Formal Accessory,Accessory,wedding,hot,female,formal,black,Allen Solly,45.89,3.2,Amazon,https://via.placeholder.com/150/beb6ce/ffffff?text=Accessory+Allen Solly,https://www.amazon.com/search?q=black+formal+Accessory
38,Biba Pink Sporty Footwear,Footwear,travel,rainy,unisex,sporty,pink,Biba,149.71,4.3,Amazon,https://via.placeholder.com/150/a88e6a/ffffff?text=Footwear+Biba,https://www.amazon.com/search?q=pink+sporty+Footwear
39,H&M Black Sporty Accessory,Accessory,gym,hot,male,sporty,black,H&M,46.1,3.2,Flipkart,https://via.placeholder.com/150/a88e6a/ffffff?text=Accessory+H&M,https://www.flipkart.com/search?q=black+sporty+Accessory
40,Zara Grey Formal Accessory,Accessory,office,cold,unisex,formal,grey,Zara,33.59,4.5,Nykaa Fashion,https://via.placeholder.com/150/1a1625/ffffff?text=Accessory+Zara,https://www.nykaafashion.com/search?q=grey+formal+Accessory
41,Nike Grey Casual Bottom,Bottom,travel,hot,unisex,casual,grey,Nike,54.79,4.1,Amazon,https://via.placeholder.com/150/c2a884/ffffff?text=Bottom+Nike,https://www.amazon.com/search?q=grey+casual+Bottom
42,H&M Pink Formal Footwear,Footwear,interview,cold,female,formal,pink,H&M,86.84,4.3,Flipkart,https://via.placeholder.com/150/a88e6a/ffffff?text=Footwear+H&M,https://www.flipkart.com/search?q=pink+formal+Footwear
43,Adidas Yellow Traditional Footwear,Footwear,party,rainy,unisex,traditional,yellow,Adidas,121.02,4.9,Amazon,https://via.placeholder.com/150/c2a884/ffffff?text=Footwear+Adidas,https://www.amazon.com/search?q=yellow+traditional+Footwear
44,Levi's Black Sporty Top,Top,gym,cold,unisex,sporty,black,Levi's,107.33,4.0,Nykaa Fashion,https://via.placeholder.com/150/1a1625/ffffff?text=Top+Levi's,https://www.nykaafashion.com/search?q=black+sporty+Top
45,Zara Red Traditional Bottom,Bottom,party,rainy,male,traditional,red,Zara,42.81,4.4,Nykaa Fashion,https://via.placeholder.com/150/a88e6a/ffffff?text=Bottom+Zara,https://www.nykaafashion.com/search?q=red+traditional+Bottom
46,Fossil Yellow Formal Bottom,Bottom,office,rainy,male,formal,yellow,Fossil,104.73,3.6,Amazon,https://via.placeholder.com/150/1a1625/ffffff?text=Bottom+Fossil,https://www.amazon.com/search?q=yellow+formal+Bottom
47,Allen Solly Red Formal Top,Top,wedding,hot,female,formal,red,Allen Solly,132.12,4.7,Flipkart,https://via.placeholder.com/150/beb6ce/ffffff?text=Top+Allen Solly,https://www.flipkart.com/search?q=red+formal+Top
48,H&M Black Formal Footwear,Footwear,office,cold,male,formal,black,H&M,75.15,4.8,Myntra,https://via.placeholder.com/150/beb6ce/ffffff?text=Footwear+H&M,https://www.myntra.com/search?q=black+formal+Footwear
49,Zara Blue Formal Bottom,Bottom,office,cold,male,formal,blue,Zara,85.47,3.3,Nykaa Fashion,https://via.placeholder.com/150/1a1625/ffffff?text=Bottom+Zara,https://www.nykaafashion.com/search?q=blue+formal+Bottom
50,Nike Blue Trendy Footwear,Footwear,travel,hot,unisex,trendy,blue,Nike,118.21,4.9,Flipkart,https://via.placeholder.com/150/1a1625/ffffff?text=Footwear+Nike,https://www.flipkart.com/search?q=blue+trendy+Footwear
51,Levi's Grey Casual Top,Top,casual,cold,unisex,casual,grey,Levi's,33.72,3.9,Amazon,https://via.placeholder.com/150/c2a884/ffffff?text=Top+Levi's,https://www.amazon.com/search?q=grey+casual+Top
52,Nike Grey Formal Top,Top,office,hot,male,formal,grey,Nike,64.75,3.1,Myntra,https://via.placeholder.com/150/a88e6a/ffffff?text=Top+Nike,https://www.myntra.com/search?q=grey+formal+Top
53,Manyavar Grey Sporty Bottom,Bottom,gym,hot,unisex,sporty,grey,Manyavar,44.59,4.2,Myntra,https://via.placeholder.com/150/c2a884/ffffff?text=Bottom+Manyavar,https://www.myntra.com/search?q=grey+sporty+Bottom
54,Biba Red Formal Bottom,Bottom,office,hot,male,formal,red,Biba,17.64,3.8,Nykaa Fashion,https://via.placeholder.com/150/c2a884/ffffff?text=Bottom+Biba,https://www.nykaafashion.com/search?q=red+formal+Bottom
55,Adidas Green Sporty Accessory,Accessory,gym,rainy,male,sporty,green,Adidas,28.87,3.3,Myntra,https://via.placeholder.com/150/1a1625/ffffff?text=Accessory+Adidas,https://www.myntra.com/search?q=green+sporty+Accessory
56,Nike Pink Formal Accessory,Accessory,party,cold,female,formal,pink,Nike,32.57,3.4,Amazon,https://via.placeholder.com/150/beb6ce/ffffff?text=Accessory+Nike,https://www.amazon.com/search?q=pink+formal+Accessory
57,Fossil Grey Formal Top,Top,office,cold,female,formal,grey,Fossil,123.47,3.9,Nykaa Fashion,https://via.placeholder.com/150/a88e6a/ffffff?text=Top+Fossil,https://www.nykaafashion.com/search?q=grey+formal+Top
58,Zara Blue Trendy Footwear,Footwear,casual,hot,female,trendy,blue,Zara,47.87,4.3,Flipkart,https://via.placeholder.com/150/1a1625/ffffff?text=Footwear+Zara,https://www.flipkart.com/search?q=blue+trendy+Footwear
59,H&M White Casual Bottom,Bottom,travel,hot,female,casual,white,H&M,83.3,3.2,Myntra,https://via.placeholder.com/150/a88e6a/ffffff?text=Bottom+H&M,https://www.myntra.com/search?q=white+casual+Bottom
60,Adidas Red Formal Top,Top,wedding,cold,unisex,formal,red,Adidas,37.97,3.7,Flipkart,https://via.placeholder.com/150/a88e6a/ffffff?text=Top+Adidas,https://www.flipkart.com/search?q=red+formal+Top
61,Allen Solly Yellow Trendy Bottom,Bottom,casual,hot,unisex,trendy,yellow,Allen Solly,28.32,3.8,Nykaa Fashion,https://via.placeholder.com/150/a88e6a/ffffff?text=Bottom+Allen Solly,https://www.nykaafashion.com/search?q=yellow+trendy+Bottom
62,Biba Black Trendy Accessory,Accessory,wedding,hot,unisex,trendy,black,Biba,116.11,3.7,Myntra,https://via.placeholder.com/150/beb6ce/ffffff?text=Accessory+Biba,https://www.myntra.com/search?q=black+trendy+Accessory
63,Allen Solly Yellow Formal Top,Top,office,cold,male,formal,yellow,Allen Solly,102.2,3.1,Ajio,https://via.placeholder.com/150/c2a884/ffffff?text=Top+Allen Solly,https://www.ajio.com/search?q=yellow+formal+Top
64,Nike Black Trendy Bottom,Bottom,casual,cold,male,trendy,black,Nike,129.68,4.9,Flipkart,https://via.placeholder.com/150/a88e6a/ffffff?text=Bottom+Nike,https://www.flipkart.com/search?q=black+trendy+Bottom
65,Puma Yellow Sporty Bottom,Bottom,gym,cold,male,sporty,yellow,Puma,22.59,3.2,Nykaa Fashion,https://via.placeholder.com/150/a88e6a/ffffff?text=Bottom+Puma,https://www.nykaafashion.com/search?q=yellow+sporty+Bottom
66,Zara Grey Formal Bottom,Bottom,interview,cold,unisex,formal,grey,Zara,44.11,4.8,Amazon,https://via.placeholder.com/150/beb6ce/ffffff?text=Bottom+Zara,https://www.amazon.com/search?q=grey+formal+Bottom
67,H&M White Formal Accessory,Accessory,interview,cold,female,formal,white,H&M,82.36,3.3,Flipkart,https://via.placeholder.com/150/a88e6a/ffffff?text=Accessory+H&M,https://www.flipkart.com/search?q=white+formal+Accessory
68,Zara White Traditional Top,Top,party,cold,male,traditional,white,Zara,38.29,3.0,Ajio,https://via.placeholder.com/150/a88e6a/ffffff?text=Top+Zara,https://www.ajio.com/search?q=white+traditional+Top
69,Manyavar Black Trendy Accessory,Accessory,casual,cold,female,trendy,black,Manyavar,38.23,4.3,Flipkart,https://via.placeholder.com/150/c2a884/ffffff?text=Accessory+Manyavar,https://www.flipkart.com/search?q=black+trendy+Accessory
70,Levi's Yellow Formal Accessory,Accessory,interview,hot,unisex,formal,yellow,Levi's,139.91,3.8,Myntra,https://via.placeholder.com/150/c2a884/ffffff?text=Accessory+Levi's,https://www.myntra.com/search?q=yellow+formal+Accessory
71,Zara Yellow Sporty Footwear,Footwear,travel,hot,unisex,sporty,yellow,Zara,131.85,3.9,Myntra,https://via.placeholder.com/150/a88e6a/ffffff?text=Footwear+Zara,https://www.myntra.com/search?q=yellow+sporty+Footwear
72,Fossil Blue Traditional Top,Top,party,cold,male,traditional,blue,Fossil,83.74,4.3,Amazon,https://via.placeholder.com/150/beb6ce/ffffff?text=Top+Fossil,https://www.amazon.com/search?q=blue+traditional+Top
73,Biba Green Casual Top,Top,travel,hot,unisex,casual,green,Biba,15.81,4.9,Amazon,https://via.placeholder.com/150/beb6ce/ffffff?text=Top+Biba,https://www.amazon.com/search?q=green+casual+Top
74,Manyavar Green Trendy Footwear,Footwear,wedding,rainy,male,trendy,green,Manyavar,59.51,3.7,Amazon,https://via.placeholder.com/150/1a1625/ffffff?text=Footwear+Manyavar,https://www.amazon.com/search?q=green+trendy+Footwear
75,Zara Grey Formal Bottom,Bottom,party,hot,unisex,formal,grey,Zara,126.54,4.6,Amazon,https://via.placeholder.com/150/c2a884/ffffff?text=Bottom+Zara,https://www.amazon.com/search?q=grey+formal+Bottom
76,Biba Grey Formal Accessory,Accessory,interview,cold,unisex,formal,grey,Biba,75.89,3.3,Ajio,https://via.placeholder.com/150/a88e6a/ffffff?text=Accessory+Biba,https://www.ajio.com/search?q=grey+formal+Accessory
77,Levi's Red Trendy Bottom,Bottom,party,cold,female,trendy,red,Levi's,119.16,4.6,Nykaa Fashion,https://via.placeholder.com/150/c2a884/ffffff?text=Bottom+Levi's,https://www.nykaafashion.com/search?q=red+trendy+Bottom
78,Manyavar Blue Sporty Top,Top,gym,rainy,unisex,sporty,blue,Manyavar,31.62,4.6,Amazon,https://via.placeholder.com/150/1a1625/ffffff?text=Top+Manyavar,https://www.amazon.com/search?q=blue+sporty+Top
79,Allen Solly Grey Sporty Accessory,Accessory,gym,cold,male,sporty,grey,Allen Solly,39.84,5.0,Nykaa Fashion,https://via.placeholder.com/150/beb6ce/ffffff?text=Accessory+Allen Solly,https://www.nykaafashion.com/search?q=grey+sporty+Accessory
80,Allen Solly Green Traditional Bottom,Bottom,wedding,hot,unisex,traditional,green,Allen Solly,66.91,3.5,Flipkart,https://via.placeholder.com/150/1a1625/ffffff?text=Bottom+Allen Solly,https://www.flipkart.com/search?q=green+traditional+Bottom
81,Zara Yellow Trendy Bottom,Bottom,party,rainy,male,trendy,yellow,Zara,66.46,4.3,Flipkart,https://via.placeholder.com/150/1a1625/ffffff?text=Bottom+Zara,https://www.flipkart.com/search?q=yellow+trendy+Bottom
82,Zara Green Formal Footwear,Footwear,interview,hot,unisex,formal,green,Zara,134.64,4.3,Nykaa Fashion,https://via.placeholder.com/150/1a1625/ffffff?text=Footwear+Zara,https://www.nykaafashion.com/search?q=green+formal+Footwear
83,Fossil Grey Sporty Accessory,Accessory,travel,hot,female,sporty,grey,Fossil,124.52,3.2,Ajio,https://via.placeholder.com/150/1a1625/ffffff?text=Accessory+Fossil,https://www.ajio.com/search?q=grey+sporty+Accessory
84,Allen Solly Pink Trendy Bottom,Bottom,casual,cold,female,trendy,pink,Allen Solly,74.38,3.8,Nykaa Fashion,https://via.placeholder.com/150/c2a884/ffffff?text=Bottom+Allen Solly,https://www.nykaafashion.com/search?q=pink+trendy+Bottom
85,Adidas Red Trendy Bottom,Bottom,wedding,hot,unisex,trendy,red,Adidas,88.36,3.0,Amazon,https://via.placeholder.com/150/a88e6a/ffffff?text=Bottom+Adidas,https://www.amazon.com/search?q=red+trendy+Bottom
86,Biba Pink Trendy Top,Top,casual,cold,female,trendy,pink,Biba,43.69,4.4,Amazon,https://via.placeholder.com/150/c2a884/ffffff?text=Top+Biba,https://www.amazon.com/search?q=pink+trendy+Top
87,Fossil Pink Sporty Top,Top,casual,cold,unisex,sporty,pink,Fossil,53.46,3.5,Nykaa Fashion,https://via.placeholder.com/150/a88e6a/ffffff?text=Top+Fossil,https://www.nykaafashion.com/search?q=pink+sporty+Top
88,Manyavar Yellow Sporty Top,Top,gym,rainy,male,sporty,yellow,Manyavar,143.71,4.2,Myntra,https://via.placeholder.com/150/a88e6a/ffffff?text=Top+Manyavar,https://www.myntra.com/search?q=yellow+sporty+Top
89,Adidas Yellow Sporty Accessory,Accessory,casual,rainy,female,sporty,yellow,Adidas,63.55,3.4,Amazon,https://via.placeholder.com/150/c2a884/ffffff?text=Accessory+Adidas,https://www.amazon.com/search?q=yellow+sporty+Accessory
90,H&M Grey Formal Footwear,Footwear,interview,rainy,female,formal,grey,H&M,30.38,5.0,Flipkart,https://via.placeholder.com/150/beb6ce/ffffff?text=Footwear+H&M,https://www.flipkart.com/search?q=grey+formal+Footwear
91,Levi's Pink Formal Bottom,Bottom,interview,cold,male,formal,pink,Levi's,108.91,3.6,Amazon,https://via.placeholder.com/150/a88e6a/ffffff?text=Bottom+Levi's,https://www.amazon.com/search?q=pink+formal+Bottom
92,Biba Blue Formal Accessory,Accessory,office,cold,female,formal,blue,Biba,141.04,4.5,Flipkart,https://via.placeholder.com/150/a88e6a/ffffff?text=Accessory+Biba,https://www.flipkart.com/search?q=blue+formal+Accessory
93,Biba Green Trendy Accessory,Accessory,casual,rainy,female,trendy,green,Biba,51.88,3.9,Flipkart,https://via.placeholder.com/150/a88e6a/ffffff?text=Accessory+Biba,https://www.flipkart.com/search?q=green+trendy+Accessory
94,Nike Blue Trendy Bottom,Bottom,travel,cold,unisex,trendy,blue,Nike,141.77,4.2,Amazon,https://via.placeholder.com/150/c2a884/ffffff?text=Bottom+Nike,https://www.amazon.com/search?q=blue+trendy+Bottom
95,Manyavar Yellow Sporty Accessory,Accessory,gym,hot,female,sporty,yellow,Manyavar,92.94,4.0,Nykaa Fashion,https://via.placeholder.com/150/1a1625/ffffff?text=Accessory+Manyavar,https://www.nykaafashion.com/search?q=yellow+sporty+Accessory
96,Puma Yellow Trendy Accessory,Accessory,travel,rainy,male,trendy,yellow,Puma,103.19,3.3,Ajio,https://via.placeholder.com/150/beb6ce/ffffff?text=Accessory+Puma,https://www.ajio.com/search?q=yellow+trendy+Accessory
97,Adidas Yellow Sporty Accessory,Accessory,gym,cold,unisex,sporty,yellow,Adidas,34.1,3.3,Flipkart,https://via.placeholder.com/150/beb6ce/ffffff?text=Accessory+Adidas,https://www.flipkart.com/search?q=yellow+sporty+Accessory
98,Puma Green Trendy Footwear,Footwear,casual,cold,female,trendy,green,Puma,25.79,3.8,Flipkart,https://via.placeholder.com/150/c2a884/ffffff?text=Footwear+Puma,https://www.flipkart.com/search?q=green+trendy+Footwear
99,Puma Grey Sporty Bottom,Bottom,casual,rainy,female,sporty,grey,Puma,66.56,3.9,Nykaa Fashion,https://via.placeholder.com/150/c2a884/ffffff?text=Bottom+Puma,https://www.nykaafashion.com/search?q=grey+sporty+Bottom
100,Fossil Red Trendy Bottom,Bottom,travel,cold,male,trendy,red,Fossil,74.64,4.5,Flipkart,https://via.placeholder.com/150/a88e6a/ffffff?text=Bottom+Fossil,https://www.flipkart.com/search?q=red+trendy+Bottom
101,Fossil Blue Traditional Footwear,Footwear,party,rainy,female,traditional,blue,Fossil,119.66,4.6,Amazon,https://via.placeholder.com/150/c2a884/ffffff?text=Footwear+Fossil,https://www.amazon.com/search?q=blue+traditional+Footwear
102,Biba Grey Casual Top,Top,casual,hot,unisex,casual,grey,Biba,36.17,3.2,Amazon,https://via.placeholder.com/150/beb6ce/ffffff?text=Top+Biba,https://www.amazon.com/search?q=grey+casual+Top
103,Biba Grey Trendy Accessory,Accessory,casual,hot,unisex,trendy,grey,Biba,74.83,3.6,Amazon,https://via.placeholder.com/150/1a1625/ffffff?text=Accessory+Biba,https://www.amazon.com/search?q=grey+trendy+Accessory
104,Puma Grey Formal Footwear,Footwear,interview,cold,unisex,formal,grey,Puma,117.17,3.9,Amazon,https://via.placeholder.com/150/beb6ce/ffffff?text=Footwear+Puma,https://www.amazon.com/search?q=grey+formal+Footwear
105,Puma White Sporty Bottom,Bottom,gym,rainy,female,sporty,white,Puma,40.91,3.3,Nykaa Fashion,https://via.placeholder.com/150/1a1625/ffffff?text=Bottom+Puma,https://www.nykaafashion.com/search?q=white+sporty+Bottom
106,Zara Red Trendy Top,Top,travel,hot,unisex,trendy,red,Zara,69.78,3.8,Myntra,https://via.placeholder.com/150/a88e6a/ffffff?text=Top+Zara,https://www.myntra.com/search?q=red+trendy+Top
107,Fossil White Trendy Top,Top,travel,hot,unisex,trendy,white,Fossil,86.25,4.1,Nykaa Fashion,https://via.placeholder.com/150/a88e6a/ffffff?text=Top+Fossil,https://www.nykaafashion.com/search?q=white+trendy+Top
108,Allen Solly Pink Traditional Footwear,Footwear,party,rainy,female,traditional,pink,Allen Solly,24.53,3.4,Myntra,https://via.placeholder.com/150/a88e6a/ffffff?text=Footwear+Allen Solly,https://www.myntra.com/search?q=pink+traditional+Footwear
109,H&M Blue Sporty Bottom,Bottom,casual,hot,female,sporty,blue,H&M,139.82,4.6,Flipkart,https://via.placeholder.com/150/beb6ce/ffffff?text=Bottom+H&M,https://www.flipkart.com/search?q=blue+sporty+Bottom
110,Allen Solly Green Sporty Footwear,Footwear,casual,rainy,unisex,sporty,green,Allen Solly,17.26,3.3,Ajio,https://via.placeholder.com/150/a88e6a/ffffff?text=Footwear+Allen Solly,https://www.ajio.com/search?q=green+sporty+Footwear
111,H&M Blue Formal Accessory,Accessory,office,rainy,female,formal,blue,H&M,96.92,3.8,Flipkart,https://via.placeholder.com/150/beb6ce/ffffff?text=Accessory+H&M,https://www.flipkart.com/search?q=blue+formal+Accessory
112,H&M White Sporty Top,Top,gym,hot,male,sporty,white,H&M,110.11,4.5,Nykaa Fashion,https://via.placeholder.com/150/beb6ce/ffffff?text=Top+H&M,https://www.nykaafashion.com/search?q=white+sporty+Top
113,Manyavar Red Trendy Accessory,Accessory,wedding,rainy,male,trendy,red,Manyavar,105.37,4.3,Myntra,https://via.placeholder.com/150/a88e6a/ffffff?text=Accessory+Manyavar,https://www.myntra.com/search?q=red+trendy+Accessory
114,Levi's Black Formal Bottom,Bottom,interview,hot,unisex,formal,black,Levi's,56.56,4.9,Amazon,https://via.placeholder.com/150/1a1625/ffffff?text=Bottom+Levi's,https://www.amazon.com/search?q=black+formal+Bottom
115,Puma Pink Sporty Bottom,Bottom,casual,rainy,male,sporty,pink,Puma,72.93,4.6,Nykaa Fashion,https://via.placeholder.com/150/c2a884/ffffff?text=Bottom+Puma,https://www.nykaafashion.com/search?q=pink+sporty+Bottom
116,Fossil Green Sporty Footwear,Footwear,gym,cold,female,sporty,green,Fossil,134.76,3.8,Amazon,https://via.placeholder.com/150/c2a884/ffffff?text=Footwear+Fossil,https://www.amazon.com/search?q=green+sporty+Footwear
117,Biba Green Formal Bottom,Bottom,office,hot,unisex,formal,green,Biba,142.25,4.7,Myntra,https://via.placeholder.com/150/c2a884/ffffff?text=Bottom+Biba,https://www.myntra.com/search?q=green+formal+Bottom
118,H&M Red Casual Bottom,Bottom,casual,hot,unisex,casual,red,H&M,65.72,5.0,Nykaa Fashion,https://via.placeholder.com/150/beb6ce/ffffff?text=Bottom+H&M,https://www.nykaafashion.com/search?q=red+casual+Bottom
119,Levi's Black Traditional Bottom,Bottom,wedding,rainy,male,traditional,black,Levi's,146.57,4.7,Flipkart,https://via.placeholder.com/150/1a1625/ffffff?text=Bottom+Levi's,https://www.flipkart.com/search?q=black+traditional+Bottom
