id,name,description,category,brand,price,stock,rating,reviews,image_url,created_at
33,Classic Blue Jeans,Stylish and durable pants designed for comfort.,Pants,Levis,74.98,184,3.7,120,https://images.unsplash.com/photo-1584370848010-d7fe6bc767ec,2026-03-01 00:33:00
34,Casual Cotton Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Levis,23.82,69,3.5,85,https://images.unsplash.com/photo-1562157873-818bc0726f68,2026-03-01 00:34:00
35,Classic Blue Jeans,Stylish and durable pants designed for comfort.,Pants,Puma,108.66,56,3.9,323,https://images.unsplash.com/photo-1542272604-787c3835535d,2026-03-01 00:35:00
36,Casual Sneakers,Lightweight and comfortable shoes for daily use.,Shoes,Zara,114.14,135,4.1,357,https://images.unsplash.com/photo-1519741497674-611481863552,2026-03-01 00:36:00
37,Casual Chinos,Stylish and durable pants designed for comfort.,Pants,H&M,94.22,109,4.6,394,https://images.unsplash.com/photo-1584370848010-d7fe6bc767ec,2026-03-01 00:37:00
38,Training Shoes,Lightweight and comfortable shoes for daily use.,Shoes,H&M,117.4,179,4.8,407,https://images.unsplash.com/photo-1519741497674-611481863552,2026-03-01 00:38:00
39,Classic Office Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Adidas,80.68,49,3.6,475,https://images.unsplash.com/photo-1593032465171-8f0e9b2a5d4d,2026-03-01 00:39:00
40,Cotton Crew T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Nike,59.5,127,4.5,322,https://images.unsplash.com/photo-1523381210434-271e8be1f52b,2026-03-01 00:40:00
41,Casual Cotton Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Puma,26.13,71,4.3,212,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf,2026-03-01 00:41:00
42,Pullover Hoodie,Warm and stylish hoodie perfect for winter.,Hoodies,H&M,78.48,190,4.8,176,https://images.unsplash.com/photo-1556821840-3a63f95609a7,2026-03-01 00:42:00
43,Slim Fit Jeans,Stylish and durable pants designed for comfort.,Pants,Adidas,79.96,65,4.8,471,https://images.unsplash.com/photo-1514996937319-344454492b37,2026-03-01 00:43:00
44,Street Style Hoodie,Warm and stylish hoodie perfect for winter.,Hoodies,Puma,36.87,140,4.4,461,https://images.unsplash.com/photo-1578768079052-aa76e52ff62e,2026-03-01 00:44:00
45,Comfort Walking Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Levis,57.08,84,3.6,153,https://images.unsplash.com/photo-1542291026-7eec264c27ff,2026-03-01 00:45:00
46,Running Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Nike,90.99,42,3.5,283,https://images.unsplash.com/photo-1542291026-7eec264c27ff,2026-03-01 00:46:00
47,Pullover Hoodie,Warm and stylish hoodie perfect for winter.,Hoodies,Nike,79.22,123,3.6,370,https://images.unsplash.com/photo-1556821840-3a63f95609a7,2026-03-01 00:47:00
48,Sport Sneakers,Lightweight and comfortable shoes for daily use.,Shoes,Nike,42.99,57,4.2,331,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77,2026-03-01 00:48:00
49,Slim Fit Jeans,Stylish and durable pants designed for comfort.,Pants,Puma,83.29,101,5.0,234,https://images.unsplash.com/photo-1542272604-787c3835535d,2026-03-01 00:49:00
50,Denim Jeans,Stylish and durable pants designed for comfort.,Pants,Puma,114.42,44,4.0,211,https://images.unsplash.com/photo-1514996937319-344454492b37,2026-03-01 00:50:00
51,Elegant Chain,Elegant necklace designed for style and fashion.,Necklaces,H&M,56.77,132,5.0,267,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1,2026-03-01 00:51:00
52,Formal Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Puma,40.19,98,4.7,332,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf,2026-03-01 00:52:00
53,Pullover Hoodie,Warm and stylish hoodie perfect for winter.,Hoodies,Puma,91.01,97,5.0,217,https://images.unsplash.com/photo-1556821840-3a63f95609a7,2026-03-01 00:53:00
54,Formal Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Puma,26.47,19,3.8,348,https://images.unsplash.com/photo-1562157873-818bc0726f68,2026-03-01 00:54:00
55,Slim Fit Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Adidas,117.44,66,4.8,363,https://images.unsplash.com/photo-1593032465171-8f0e9b2a5d4d,2026-03-01 00:55:00
56,Formal Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Zara,47.35,21,3.7,266,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf,2026-03-01 00:56:00
57,Street Style Hoodie,Warm and stylish hoodie perfect for winter.,Hoodies,Nike,113.72,99,3.8,282,https://images.unsplash.com/photo-1578768079052-aa76e52ff62e,2026-03-01 00:57:00
58,Slim Fit Jeans,Stylish and durable pants designed for comfort.,Pants,H&M,99.74,90,4.8,489,https://images.unsplash.com/photo-1542272604-787c3835535d,2026-03-01 00:58:00
59,Slim Fit T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Nike,84.32,85,3.7,14,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,2026-03-01 00:59:00
60,Linen Summer Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Levis,101.52,88,4.9,287,https://images.unsplash.com/photo-1562157873-818bc0726f68,2026-03-01 01:00:00
61,Casual Chinos,Stylish and durable pants designed for comfort.,Pants,Levis,104.23,104,4.0,172,https://images.unsplash.com/photo-1584370848010-d7fe6bc767ec,2026-03-01 01:01:00
62,Formal Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Adidas,79.77,107,4.8,449,https://images.unsplash.com/photo-1593032465171-8f0e9b2a5d4d,2026-03-01 01:02:00
63,Streetwear T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Zara,33.09,127,4.0,293,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,2026-03-01 01:03:00
64,Zip Hoodie,Warm and stylish hoodie perfect for winter.,Hoodies,Levis,69.56,177,3.5,372,https://images.unsplash.com/photo-1556821840-3a63f95609a7,2026-03-01 01:04:00
65,Casual Chinos,Stylish and durable pants designed for comfort.,Pants,Nike,71.29,90,4.8,388,https://images.unsplash.com/photo-1584370848010-d7fe6bc767ec,2026-03-01 01:05:00
66,Stretch Denim Pants,Stylish and durable pants designed for comfort.,Pants,Levis,46.04,119,3.8,491,https://images.unsplash.com/photo-1542272604-787c3835535d,2026-03-01 01:06:00
67,Minimal Pendant Necklace,Elegant necklace designed for style and fashion.,Necklaces,H&M,83.34,189,4.4,452,https://images.unsplash.com/photo-1611085583191-a3b181a88401,2026-03-01 01:07:00
68,Casual Chinos,Stylish and durable pants designed for comfort.,Pants,Puma,31.47,59,4.3,381,https://images.unsplash.com/photo-1542272604-787c3835535d,2026-03-01 01:08:00
69,Slim Fit T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Levis,116.44,37,4.7,301,https://images.unsplash.com/photo-1523381210434-271e8be1f52b,2026-03-01 01:09:00
70,Slim Fit T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Adidas,99.75,139,4.4,447,https://images.unsplash.com/photo-1523381210434-271e8be1f52b,2026-03-01 01:10:00
71,Silver Necklace,Elegant necklace designed for style and fashion.,Necklaces,Adidas,72.62,172,3.6,278,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1,2026-03-01 01:11:00
72,Slim Fit Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Adidas,85.78,148,3.6,492,https://images.unsplash.com/photo-1562157873-818bc0726f68,2026-03-01 01:12:00
73,Denim Jeans,Stylish and durable pants designed for comfort.,Pants,Puma,40.06,169,4.6,121,https://images.unsplash.com/photo-1514996937319-344454492b37,2026-03-01 01:13:00
74,Running Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Nike,101.06,158,4.7,191,https://images.unsplash.com/photo-1519741497674-611481863552,2026-03-01 01:14:00
75,Denim Jeans,Stylish and durable pants designed for comfort.,Pants,Nike,60.21,82,3.8,22,https://images.unsplash.com/photo-1514996937319-344454492b37,2026-03-01 01:15:00
76,Cotton Crew T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Levis,91.3,96,3.9,428,https://images.unsplash.com/photo-1523381210434-271e8be1f52b,2026-03-01 01:16:00
77,Street Style Hoodie,Warm and stylish hoodie perfect for winter.,Hoodies,Adidas,50.51,16,4.1,452,https://images.unsplash.com/photo-1556821840-3a63f95609a7,2026-03-01 01:17:00
78,Slim Fit Jeans,Stylish and durable pants designed for comfort.,Pants,Zara,91.3,157,4.7,193,https://images.unsplash.com/photo-1584370848010-d7fe6bc767ec,2026-03-01 01:18:00
79,Classic White Tee,Comfortable cotton t-shirt for everyday wear.,Tshirts,Levis,63.06,162,4.0,66,https://images.unsplash.com/photo-1523381210434-271e8be1f52b,2026-03-01 01:19:00
80,Cotton Blend Hoodie,Warm and stylish hoodie perfect for winter.,Hoodies,Zara,43.34,81,4.1,409,https://images.unsplash.com/photo-1556821840-3a63f95609a7,2026-03-01 01:20:00
81,Minimal Pendant Necklace,Elegant necklace designed for style and fashion.,Necklaces,Adidas,56.15,123,4.0,357,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1,2026-03-01 01:21:00
82,Minimal Pendant Necklace,Elegant necklace designed for style and fashion.,Necklaces,Nike,44.08,134,4.3,247,https://images.unsplash.com/photo-1611085583191-a3b181a88401,2026-03-01 01:22:00
83,Slim Fit T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Adidas,49.69,187,4.3,75,https://images.unsplash.com/photo-1523381210434-271e8be1f52b,2026-03-01 01:23:00
84,Stretch Denim Pants,Stylish and durable pants designed for comfort.,Pants,H&M,111.4,41,3.7,72,https://images.unsplash.com/photo-1514996937319-344454492b37,2026-03-01 01:24:00
85,Denim Jeans,Stylish and durable pants designed for comfort.,Pants,Adidas,77.94,14,4.5,417,https://images.unsplash.com/photo-1514996937319-344454492b37,2026-03-01 01:25:00
86,Denim Jeans,Stylish and durable pants designed for comfort.,Pants,Puma,108.97,182,4.6,13,https://images.unsplash.com/photo-1542272604-787c3835535d,2026-03-01 01:26:00
87,Comfort Walking Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Nike,45.66,115,3.7,13,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77,2026-03-01 01:27:00
88,Denim Jeans,Stylish and durable pants designed for comfort.,Pants,Nike,56.21,38,4.0,102,https://images.unsplash.com/photo-1584370848010-d7fe6bc767ec,2026-03-01 01:28:00
89,Casual Cotton Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Levis,61.08,137,3.8,68,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf,2026-03-01 01:29:00
90,Casual Chinos,Stylish and durable pants designed for comfort.,Pants,Adidas,77.39,130,4.6,471,https://images.unsplash.com/photo-1514996937319-344454492b37,2026-03-01 01:30:00
91,Luxury Necklace,Elegant necklace designed for style and fashion.,Necklaces,Nike,34.76,95,4.3,198,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1,2026-03-01 01:31:00
92,Slim Fit Jeans,Stylish and durable pants designed for comfort.,Pants,Nike,20.79,199,4.8,66,https://images.unsplash.com/photo-1584370848010-d7fe6bc767ec,2026-03-01 01:32:00
93,Cotton Crew T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Puma,84.65,86,3.7,43,https://images.unsplash.com/photo-1503341455253-b2e723bb3dbb,2026-03-01 01:33:00
94,Gold Chain Necklace,Elegant necklace designed for style and fashion.,Necklaces,Puma,35.92,171,4.1,161,https://images.unsplash.com/photo-1611085583191-a3b181a88401,2026-03-01 01:34:00
95,Slim Fit Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Puma,38.0,20,4.8,95,https://images.unsplash.com/photo-1593032465171-8f0e9b2a5d4d,2026-03-01 01:35:00
96,Slim Fit T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Zara,66.47,95,3.5,489,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,2026-03-01 01:36:00
97,Street Style Hoodie,Warm and stylish hoodie perfect for winter.,Hoodies,Adidas,79.7,100,4.9,452,https://images.unsplash.com/photo-1578768079052-aa76e52ff62e,2026-03-01 01:37:00
98,Pullover Hoodie,Warm and stylish hoodie perfect for winter.,Hoodies,Nike,22.31,22,4.6,102,https://images.unsplash.com/photo-1556821840-3a63f95609a7,2026-03-01 01:38:00
99,Slim Fit Jeans,Stylish and durable pants designed for comfort.,Pants,Puma,24.14,71,4.6,241,https://images.unsplash.com/photo-1514996937319-344454492b37,2026-03-01 01:39:00
100,Minimal Pendant Necklace,Elegant necklace designed for style and fashion.,Necklaces,Zara,67.25,194,3.6,44,https://images.unsplash.com/photo-1611085583191-a3b181a88401,2026-03-01 01:40:00
101,Streetwear T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Puma,91.73,124,4.0,399,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,2026-03-01 01:41:00
102,Classic White Tee,Comfortable cotton t-shirt for everyday wear.,Tshirts,H&M,97.81,153,4.0,327,https://images.unsplash.com/photo-1523381210434-271e8be1f52b,2026-03-01 01:42:00
103,Classic Office Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Levis,102.75,152,4.3,11,https://images.unsplash.com/photo-1593032465171-8f0e9b2a5d4d,2026-03-01 01:43:00
104,Running Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Zara,32.45,114,4.2,238,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77,2026-03-01 01:44:00
105,Running Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Adidas,118.51,34,4.5,437,https://images.unsplash.com/photo-1519741497674-611481863552,2026-03-01 01:45:00
106,Comfort Walking Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Adidas,56.3,58,4.6,424,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77,2026-03-01 01:46:00
107,Linen Summer Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Zara,94.86,84,3.6,261,https://images.unsplash.com/photo-1562157873-818bc0726f68,2026-03-01 01:47:00
108,Elegant Chain,Elegant necklace designed for style and fashion.,Necklaces,H&M,32.22,36,3.9,73,https://images.unsplash.com/photo-1611085583191-a3b181a88401,2026-03-01 01:48:00
109,Luxury Necklace,Elegant necklace designed for style and fashion.,Necklaces,H&M,67.44,41,3.6,124,https://images.unsplash.com/photo-1611085583191-a3b181a88401,2026-03-01 01:49:00
110,Running Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Zara,115.49,101,4.4,412,https://images.unsplash.com/photo-1519741497674-611481863552,2026-03-01 01:50:00
111,Linen Summer Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Nike,80.06,114,4.2,474,https://images.unsplash.com/photo-1562157873-818bc0726f68,2026-03-01 01:51:00
112,Winter Hoodie,Warm and stylish hoodie perfect for winter.,Hoodies,Adidas,68.67,154,4.5,289,https://images.unsplash.com/photo-1578768079052-aa76e52ff62e,2026-03-01 01:52:00
113,Slim Fit T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Adidas,85.94,30,4.6,488,https://images.unsplash.com/photo-1523381210434-271e8be1f52b,2026-03-01 01:53:00
114,Slim Fit Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Nike,55.54,161,5.0,51,https://images.unsplash.com/photo-1562157873-818bc0726f68,2026-03-01 01:54:00
115,Training Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Levis,108.61,134,4.5,64,https://images.unsplash.com/photo-1519741497674-611481863552,2026-03-01 01:55:00
116,Pullover Hoodie,Warm and stylish hoodie perfect for winter.,Hoodies,Puma,118.92,57,4.6,319,https://images.unsplash.com/photo-1578768079052-aa76e52ff62e,2026-03-01 01:56:00
117,Slim Fit Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Puma,111.82,145,3.7,88,https://images.unsplash.com/photo-1562157873-818bc0726f68,2026-03-01 01:57:00
118,Cotton Blend Hoodie,Warm and stylish hoodie perfect for winter.,Hoodies,Puma,58.63,167,4.2,430,https://images.unsplash.com/photo-1556821840-3a63f95609a7,2026-03-01 01:58:00
119,Casual Sneakers,Lightweight and comfortable shoes for daily use.,Shoes,Levis,119.38,22,4.6,280,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77,2026-03-01 01:59:00
120,Silver Necklace,Elegant necklace designed for style and fashion.,Necklaces,Adidas,110.82,117,3.8,367,https://images.unsplash.com/photo-1611085583191-a3b181a88401,2026-03-01 02:00:00
121,Slim Fit Jeans,Stylish and durable pants designed for comfort.,Pants,Nike,83.32,30,3.6,176,https://images.unsplash.com/photo-1584370848010-d7fe6bc767ec,2026-03-01 02:01:00
122,Comfort Walking Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Adidas,28.26,58,3.7,174,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77,2026-03-01 02:02:00
123,Casual Chinos,Stylish and durable pants designed for comfort.,Pants,Adidas,90.19,180,3.9,43,https://images.unsplash.com/photo-1514996937319-344454492b37,2026-03-01 02:03:00
124,Casual Chinos,Stylish and durable pants designed for comfort.,Pants,Nike,80.91,194,4.1,94,https://images.unsplash.com/photo-1584370848010-d7fe6bc767ec,2026-03-01 02:04:00
125,Slim Fit T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Nike,115.44,90,4.6,388,https://images.unsplash.com/photo-1503341455253-b2e723bb3dbb,2026-03-01 02:05:00
126,Training Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Zara,34.6,81,4.3,415,https://images.unsplash.com/photo-1542291026-7eec264c27ff,2026-03-01 02:06:00
127,Slim Fit Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Zara,39.02,117,4.4,424,https://images.unsplash.com/photo-1602810318383-e386cc2a3ccf,2026-03-01 02:07:00
128,Casual Chinos,Stylish and durable pants designed for comfort.,Pants,H&M,119.33,143,3.6,466,https://images.unsplash.com/photo-1542272604-787c3835535d,2026-03-01 02:08:00
129,Slim Fit Jeans,Stylish and durable pants designed for comfort.,Pants,Zara,73.55,137,5.0,369,https://images.unsplash.com/photo-1514996937319-344454492b37,2026-03-01 02:09:00
130,Winter Hoodie,Warm and stylish hoodie perfect for winter.,Hoodies,H&M,93.13,162,4.0,142,https://images.unsplash.com/photo-1578768079052-aa76e52ff62e,2026-03-01 02:10:00
131,Running Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Adidas,48.84,117,4.5,31,https://images.unsplash.com/photo-1542291026-7eec264c27ff,2026-03-01 02:11:00
132,Sport Sneakers,Lightweight and comfortable shoes for daily use.,Shoes,Nike,108.94,41,4.2,314,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77,2026-03-01 02:12:00
133,Comfort Walking Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Puma,52.23,185,4.7,196,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77,2026-03-01 02:13:00
134,Comfort Walking Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Zara,84.14,69,4.8,181,https://images.unsplash.com/photo-1519741497674-611481863552,2026-03-01 02:14:00
135,Luxury Necklace,Elegant necklace designed for style and fashion.,Necklaces,Nike,105.0,122,4.7,361,https://images.unsplash.com/photo-1611085583191-a3b181a88401,2026-03-01 02:15:00
136,Sport Sneakers,Lightweight and comfortable shoes for daily use.,Shoes,Adidas,37.4,140,4.2,462,https://images.unsplash.com/photo-1542291026-7eec264c27ff,2026-03-01 02:16:00
137,Graphic T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Zara,38.67,166,4.8,166,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,2026-03-01 02:17:00
138,Streetwear T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,H&M,116.13,199,4.8,436,https://images.unsplash.com/photo-1523381210434-271e8be1f52b,2026-03-01 02:18:00
139,Silver Necklace,Elegant necklace designed for style and fashion.,Necklaces,Levis,55.27,194,3.6,293,https://images.unsplash.com/photo-1611085583191-a3b181a88401,2026-03-01 02:19:00
140,Casual Cotton Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Levis,100.25,28,4.1,425,https://images.unsplash.com/photo-1562157873-818bc0726f68,2026-03-01 02:20:00
141,Elegant Chain,Elegant necklace designed for style and fashion.,Necklaces,Levis,37.63,112,4.6,217,https://images.unsplash.com/photo-1611085583191-a3b181a88401,2026-03-01 02:21:00
142,Running Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Zara,42.8,137,3.7,393,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77,2026-03-01 02:22:00
143,Formal Shirt,Premium quality shirt suitable for office and casual wear.,Shirts,Zara,62.43,38,5.0,348,https://images.unsplash.com/photo-1562157873-818bc0726f68,2026-03-01 02:23:00
144,Comfort Walking Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Puma,102.69,103,4.4,118,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77,2026-03-01 02:24:00
145,Cotton Crew T-Shirt,Comfortable cotton t-shirt for everyday wear.,Tshirts,Adidas,105.78,97,4.7,313,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab,2026-03-01 02:25:00
146,Training Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Levis,54.64,169,3.9,72,https://images.unsplash.com/photo-1519741497674-611481863552,2026-03-01 02:26:00
147,Running Shoes,Lightweight and comfortable shoes for daily use.,Shoes,Levis,31.22,55,4.5,60,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77,2026-03-01 02:27:00
